team,season,week,total_snaps,yards_gained,touchdown,extra_point_attempt,field_goal_attempt,total_points
ARI,2012,1,56,259,2,2,2,20
ARI,2012,2,60,243,2,2,2,20
ARI,2012,3,59,322,2,3,2,21
ARI,2012,4,71,352,3,3,1,24
ARI,2012,5,76,334,0,0,1,3
ARI,2012,6,70,355,1,1,3,16
ARI,2012,7,69,388,3,2,0,20
ARI,2012,8,65,297,0,0,1,3
ARI,2012,9,66,360,2,2,1,17
ARI,2012,11,56,207,2,1,4,25
ARI,2012,12,77,386,4,2,1,29
ARI,2012,13,54,153,0,0,2,6
ARI,2012,14,58,176,1,0,0,6
ARI,2012,15,51,203,3,5,1,26
ARI,2012,16,72,275,2,1,2,19
ARI,2012,17,53,280,1,1,2,13
ARI,2013,1,70,413,2,3,1,18
ARI,2013,2,65,354,3,1,4,31
ARI,2013,3,55,273,1,1,0,7
ARI,2013,4,57,306,1,1,2,13
ARI,2013,5,55,268,2,2,2,20
ARI,2013,6,64,407,3,2,0,20
ARI,2013,7,71,288,2,1,3,22
ARI,2013,8,51,373,3,3,2,27
ARI,2013,10,60,340,2,3,2,21
ARI,2013,11,66,436,3,3,2,27
ARI,2013,12,71,434,3,4,4,34
ARI,2013,13,67,393,3,3,0,21
ARI,2013,14,64,377,3,4,0,22
ARI,2013,15,67,377,3,4,3,31
ARI,2013,16,67,321,1,0,3,15
ARI,2013,17,70,491,2,2,2,20
ARI,2014,1,66,414,2,0,2,18
ARI,2014,2,60,293,1,1,4,19
ARI,2014,3,58,344,2,2,3,23
ARI,2014,5,56,236,2,2,2,20
ARI,2014,6,68,324,2,3,3,24
ARI,2014,7,69,376,3,3,1,24
ARI,2014,8,65,400,3,3,1,24
ARI,2014,9,63,353,5,4,0,34
ARI,2014,10,65,355,2,4,1,19
ARI,2014,11,54,356,2,2,0,14
ARI,2014,12,49,213,0,0,1,3
ARI,2014,13,51,329,1,1,1,10
ARI,2014,14,65,381,1,0,3,15
ARI,2014,15,63,283,0,0,4,12
ARI,2014,16,64,245,0,0,2,6
ARI,2014,17,67,414,2,2,1,17
ARI,2015,1,56,428,4,4,1,31
ARI,2015,2,50,302,6,6,0,42
ARI,2015,3,66,453,4,6,1,33
ARI,2015,4,69,466,1,1,5,22
ARI,2015,5,41,362,6,6,0,42
ARI,2015,6,64,477,1,1,2,13
ARI,2015,7,58,426,3,2,2,26
ARI,2015,8,74,495,4,4,2,34
ARI,2015,10,80,482,5,4,3,43
ARI,2015,11,56,400,4,4,2,34
ARI,2015,12,68,343,2,1,2,19
ARI,2015,13,75,540,3,3,2,27
ARI,2015,14,64,409,2,2,3,23
ARI,2015,15,72,506,4,4,2,34
ARI,2015,16,54,392,3,5,1,26
ARI,2015,17,58,240,1,0,0,6
ARI,2016,1,59,363,3,3,0,21
ARI,2016,2,65,420,4,4,2,34
ARI,2016,3,78,375,3,1,1,22
ARI,2016,4,74,443,1,1,2,13
ARI,2016,5,64,298,4,4,1,31
ARI,2016,6,68,398,4,4,0,28
ARI,2016,7,90,474,0,0,2,6
ARI,2016,8,65,387,4,2,0,26
ARI,2016,10,73,456,2,2,3,23
ARI,2016,11,70,333,4,3,1,30
ARI,2016,12,62,347,2,1,2,19
ARI,2016,13,70,389,4,4,1,31
ARI,2016,14,63,321,3,0,1,21
ARI,2016,15,56,434,5,5,0,35
ARI,2016,16,56,379,4,4,2,34
ARI,2016,17,67,347,4,5,3,38
ARI,2017,1,68,313,3,2,1,23
ARI,2017,2,64,416,1,1,3,16
ARI,2017,3,75,374,2,2,1,17
ARI,2017,4,78,409,1,0,4,18
ARI,2017,5,60,322,1,1,0,7
ARI,2017,6,55,447,6,5,1,44
ARI,2017,9,70,371,2,2,2,20
ARI,2017,10,73,307,2,1,1,16
ARI,2017,11,54,305,3,3,0,21
ARI,2017,12,70,350,3,1,4,31
ARI,2017,13,62,339,3,1,1,22
ARI,2017,14,61,316,0,0,4,12
ARI,2017,15,79,330,0,0,5,15
ARI,2017,16,63,305,2,2,1,17
ARI,2017,17,67,262,2,2,4,26
ARI,2018,1,51,222,1,0,0,6
ARI,2018,3,48,246,2,2,0,14
ARI,2018,4,56,272,2,2,1,17
ARI,2018,5,45,229,3,4,0,22
ARI,2018,6,55,300,1,2,1,11
ARI,2018,7,66,263,3,1,1,22
ARI,2018,8,65,340,2,1,1,16
ARI,2018,10,68,303,2,2,0,14
ARI,2018,11,52,290,3,3,0,21
ARI,2018,12,44,168,1,1,1,10
ARI,2018,13,56,332,2,2,2,20
ARI,2018,14,65,301,1,0,1,9
ARI,2018,15,64,304,3,2,0,20
ARI,2018,16,53,286,1,0,1,9
ARI,2018,17,65,234,1,1,3,16
ARI,2019,1,83,420,2,1,4,25
ARI,2019,2,54,369,1,0,3,15
ARI,2019,3,73,294,2,2,2,20
ARI,2019,4,58,357,2,1,1,16
ARI,2019,5,70,519,2,2,4,26
ARI,2019,6,62,445,4,4,2,34
ARI,2019,7,58,267,4,3,2,33
ARI,2019,8,49,260,0,0,3,9
ARI,2019,9,51,394,3,2,1,23
ARI,2019,10,64,426,3,3,2,27
ARI,2019,11,62,285,4,2,2,32
ARI,2019,13,61,237,2,1,0,13
ARI,2019,14,57,265,3,2,1,23
ARI,2019,15,59,447,5,5,1,38
ARI,2019,16,67,423,3,3,2,27
ARI,2019,17,60,396,3,3,1,24
ARI,2020,1,75,419,3,3,1,24
ARI,2020,2,73,446,3,3,3,30
ARI,2020,3,63,379,3,2,1,23
ARI,2020,4,55,262,3,3,0,21
ARI,2020,5,65,511,4,3,1,30
ARI,2020,6,59,450,5,5,1,38
ARI,2020,7,77,519,4,4,3,37
ARI,2020,9,64,461,5,4,1,37
ARI,2020,10,71,462,3,2,4,32
ARI,2020,11,63,326,3,3,0,21
ARI,2020,12,70,308,2,2,1,17
ARI,2020,13,61,265,5,4,0,34
ARI,2020,14,76,408,2,2,4,26
ARI,2020,15,68,535,4,4,1,31
ARI,2020,16,80,367,1,0,2,12
ARI,2020,17,48,241,2,1,0,13
ARI,2021,1,67,425,5,5,1,38
ARI,2021,2,60,503,5,4,2,40
ARI,2021,3,64,407,4,4,2,34
ARI,2021,4,73,486,4,4,3,37
ARI,2021,5,57,340,2,2,1,17
ARI,2021,6,66,376,4,4,3,37
ARI,2021,7,67,434,4,4,1,31
ARI,2021,8,55,348,3,3,0,21
ARI,2021,9,67,446,4,4,1,31
ARI,2021,10,53,208,1,1,1,10
ARI,2021,11,77,425,3,2,1,23
ARI,2021,13,52,260,4,3,2,33
ARI,2021,14,75,486,2,2,3,23
ARI,2021,15,73,419,1,0,2,12
ARI,2021,16,64,378,2,1,1,16
ARI,2021,17,70,416,2,1,4,25
ARI,2021,18,72,358,2,3,3,24
ARI,2022,1,64,309,3,1,0,19
ARI,2022,2,80,420,3,1,0,19
ARI,2022,3,81,384,0,0,4,12
ARI,2022,4,68,342,4,2,2,32
ARI,2022,5,67,374,2,2,1,17
ARI,2022,6,71,366,0,0,1,3
ARI,2022,7,61,342,3,2,2,26
ARI,2022,8,70,404,3,2,2,26
ARI,2022,9,61,297,2,3,0,15
ARI,2022,10,64,317,3,3,2,27
ARI,2022,11,71,344,1,1,1,10
ARI,2022,12,64,372,3,3,1,24
ARI,2022,14,69,368,2,1,2,19
ARI,2022,15,60,246,1,0,3,15
ARI,2022,16,73,342,1,1,3,16
ARI,2022,17,69,348,1,1,4,19
ARI,2022,18,49,271,2,1,0,13
ARI,2023,1,58,228,0,1,3,10
ARI,2023,2,61,379,3,2,2,26
ARI,2023,3,53,413,3,1,3,28
ARI,2023,4,68,370,2,1,1,16
ARI,2023,5,57,308,4,2,0,26
ARI,2023,6,72,366,0,0,3,9
ARI,2023,7,63,277,1,1,1,10
ARI,2023,8,72,338,3,1,1,22
ARI,2023,10,60,373,2,1,4,25
ARI,2023,11,59,337,2,1,1,16
ARI,2023,12,66,329,2,0,0,12
ARI,2023,13,60,298,3,3,1,24
ARI,2023,15,73,445,4,2,3,35
ARI,2023,16,60,323,2,1,1,16
ARI,2023,17,72,453,5,3,2,39
ARI,2023,18,69,468,2,2,2,20
ATL,2012,1,55,383,4,4,4,40
ATL,2012,2,63,289,3,3,2,27
ATL,2012,3,69,394,4,3,0,27
ATL,2012,4,66,490,3,3,3,30
ATL,2012,5,79,430,4,3,1,30
ATL,2012,6,53,294,1,2,3,17
ATL,2012,8,68,408,3,3,3,30
ATL,2012,9,63,465,1,1,4,19
ATL,2012,10,71,457,3,3,2,27
ATL,2012,11,68,362,1,2,3,17
ATL,2012,12,57,432,3,3,1,24
ATL,2012,13,54,291,2,2,3,23
ATL,2012,14,63,377,3,2,0,20
ATL,2012,15,64,403,4,4,2,34
ATL,2012,16,55,352,4,4,1,31
ATL,2012,17,62,303,2,2,1,17
ATL,2013,1,55,392,2,2,1,17
ATL,2013,2,61,410,3,4,1,25
ATL,2013,3,68,377,2,2,3,23
ATL,2013,4,71,479,2,2,3,23
ATL,2013,5,69,383,4,4,0,28
ATL,2013,7,41,303,3,4,1,25
ATL,2013,8,78,328,1,1,2,13
ATL,2013,9,47,298,2,1,1,16
ATL,2013,10,53,237,1,1,1,10
ATL,2013,11,67,440,4,2,2,32
ATL,2013,12,66,383,1,1,2,13
ATL,2013,13,83,462,4,4,2,34
ATL,2013,14,59,289,2,3,0,15
ATL,2013,15,61,265,3,3,2,27
ATL,2013,16,69,409,4,3,1,30
ATL,2013,17,68,357,3,2,2,26
ATL,2014,1,68,571,4,4,3,37
ATL,2014,2,65,328,1,1,1,10
ATL,2014,3,65,494,7,8,0,50
ATL,2014,4,63,421,4,4,0,28
ATL,2014,5,66,406,2,2,2,20
ATL,2014,6,53,314,1,1,2,13
ATL,2014,7,65,296,1,1,0,7
ATL,2014,8,55,306,3,3,0,21
ATL,2014,10,59,330,2,1,4,25
ATL,2014,11,73,354,1,1,4,19
ATL,2014,12,69,336,3,3,1,24
ATL,2014,13,74,505,3,2,5,35
ATL,2014,14,65,466,5,4,1,37
ATL,2014,15,57,407,3,2,2,26
ATL,2014,16,62,403,2,3,3,24
ATL,2014,17,69,323,2,0,1,15
ATL,2015,1,67,406,2,2,4,26
ATL,2015,2,69,420,3,3,1,24
ATL,2015,3,69,444,5,4,1,37
ATL,2015,4,64,392,5,6,0,36
ATL,2015,5,78,430,2,1,2,19
ATL,2015,6,70,445,4,3,0,27
ATL,2015,7,67,381,1,1,1,10
ATL,2015,8,73,498,2,2,2,20
ATL,2015,9,61,320,1,1,3,16
ATL,2015,11,71,380,4,3,0,27
ATL,2015,12,56,347,1,1,1,10
ATL,2015,13,66,333,1,1,4,19
ATL,2015,15,67,331,2,2,3,23
ATL,2015,16,60,385,2,2,2,20
ATL,2015,17,63,421,2,2,1,17
ATL,2016,1,64,387,2,1,3,22
ATL,2016,2,65,535,4,3,2,33
ATL,2016,3,61,459,5,6,1,39
ATL,2016,4,63,595,6,6,2,48
ATL,2016,5,61,390,2,2,3,23
ATL,2016,6,64,387,3,3,1,24
ATL,2016,7,63,403,2,3,3,24
ATL,2016,8,56,379,4,3,2,33
ATL,2016,9,69,482,5,4,3,43
ATL,2016,10,48,315,1,0,3,15
ATL,2016,12,65,387,5,5,1,38
ATL,2016,13,68,425,4,1,3,34
ATL,2016,14,57,303,4,6,0,30
ATL,2016,15,65,551,5,5,2,41
ATL,2016,16,61,429,3,3,4,33
ATL,2016,17,58,474,5,5,1,38
ATL,2017,1,53,387,2,2,3,23
ATL,2017,2,58,393,3,4,2,28
ATL,2017,3,64,446,4,3,3,36
ATL,2017,4,72,389,3,2,1,23
ATL,2017,6,55,348,2,2,1,17
ATL,2017,7,56,353,1,1,0,7
ATL,2017,8,63,394,2,1,4,25
ATL,2017,9,57,367,2,2,1,17
ATL,2017,10,64,347,3,3,2,27
ATL,2017,11,56,286,3,4,2,28
ATL,2017,12,63,516,4,4,2,34
ATL,2017,13,51,275,0,0,3,9
ATL,2017,14,63,355,2,2,2,20
ATL,2017,15,67,413,3,3,1,24
ATL,2017,16,60,356,1,1,2,13
ATL,2017,17,70,378,1,1,5,22
ATL,2018,1,65,325,1,0,2,12
ATL,2018,2,60,442,4,4,1,31
ATL,2018,3,61,423,5,3,0,33
ATL,2018,4,67,511,4,3,3,36
ATL,2018,5,70,367,3,2,1,23
ATL,2018,6,64,425,4,4,2,34
ATL,2018,7,61,447,2,2,3,23
ATL,2018,9,64,504,5,5,1,38
ATL,2018,10,73,401,2,1,1,16
ATL,2018,11,55,371,1,1,4,19
ATL,2018,12,69,403,2,2,1,17
ATL,2018,13,45,166,2,1,1,16
ATL,2018,14,68,369,4,2,0,26
ATL,2018,15,66,446,4,4,2,34
ATL,2018,16,47,434,3,3,1,24
ATL,2018,17,73,495,4,4,2,34
ATL,2019,1,69,377,2,0,0,12
ATL,2019,2,60,378,3,3,1,24
ATL,2019,3,53,398,3,3,1,24
ATL,2019,4,75,455,1,1,1,10
ATL,2019,5,68,388,5,3,1,36
ATL,2019,6,63,459,4,3,2,33
ATL,2019,7,52,263,1,1,1,10
ATL,2019,8,71,529,2,0,2,18
ATL,2019,10,70,325,2,2,4,26
ATL,2019,11,60,370,2,2,3,23
ATL,2019,12,81,383,3,1,3,28
ATL,2019,13,85,401,2,0,2,18
ATL,2019,14,66,473,4,4,4,40
ATL,2019,15,61,300,3,2,1,23
ATL,2019,16,70,522,3,3,1,24
ATL,2019,17,86,401,2,1,5,28
ATL,2020,1,78,522,3,1,2,25
ATL,2020,2,73,386,4,3,4,39
ATL,2020,3,64,383,3,2,2,26
ATL,2020,4,68,363,2,1,1,16
ATL,2020,5,61,393,1,1,3,16
ATL,2020,6,78,471,4,4,4,40
ATL,2020,7,71,404,3,2,0,20
ATL,2020,8,66,414,2,1,4,25
ATL,2020,9,67,378,4,4,2,34
ATL,2020,11,59,284,0,0,3,9
ATL,2020,12,69,314,3,4,5,37
ATL,2020,13,63,343,1,1,3,16
ATL,2020,14,55,333,2,2,1,17
ATL,2020,15,65,393,3,3,2,27
ATL,2020,16,61,391,2,2,0,14
ATL,2020,17,71,392,3,3,2,27
ATL,2021,1,64,288,0,0,2,6
ATL,2021,2,70,355,5,2,1,35
ATL,2021,3,59,312,2,2,1,17
ATL,2021,4,71,382,4,3,1,30
ATL,2021,5,74,451,3,3,2,27
ATL,2021,7,61,410,3,3,3,30
ATL,2021,8,50,228,1,1,2,13
ATL,2021,9,55,379,3,3,2,27
ATL,2021,10,53,234,1,0,1,9
ATL,2021,11,52,198,1,0,0,6
ATL,2021,12,57,341,3,3,0,21
ATL,2021,13,69,418,1,2,1,11
ATL,2021,14,63,320,2,2,3,23
ATL,2021,15,58,298,1,1,2,13
ATL,2021,16,44,263,2,2,2,20
ATL,2021,17,50,293,1,1,2,13
ATL,2021,18,48,278,2,2,2,20
ATL,2022,1,70,416,2,2,4,26
ATL,2022,2,57,286,2,2,1,17
ATL,2022,3,52,410,3,3,2,27
ATL,2022,4,52,344,2,2,3,23
ATL,2022,5,62,298,2,1,0,13
ATL,2022,6,56,297,3,4,0,22
ATL,2022,7,45,231,2,2,1,17
ATL,2022,8,66,421,3,4,3,31
ATL,2022,9,60,330,2,2,1,17
ATL,2022,10,59,324,2,0,1,15
ATL,2022,11,48,283,3,3,2,27
ATL,2022,12,55,341,1,1,2,13
ATL,2022,13,53,313,1,1,3,16
ATL,2022,15,70,328,2,1,1,16
ATL,2022,16,68,333,0,0,3,9
ATL,2022,17,60,302,2,2,2,20
ATL,2022,18,67,398,3,3,3,30
ATL,2023,1,47,246,3,3,1,24
ATL,2023,2,77,449,2,1,4,25
ATL,2023,3,65,245,0,0,2,6
ATL,2023,4,57,318,2,1,0,13
ATL,2023,5,73,449,2,1,2,19
ATL,2023,6,79,413,2,1,1,16
ATL,2023,7,64,406,1,1,3,16
ATL,2023,8,65,387,2,2,3,23
ATL,2023,9,66,378,2,2,4,26
ATL,2023,10,65,279,3,2,1,23
ATL,2023,12,61,397,2,3,1,18
ATL,2023,13,63,212,1,1,2,13
ATL,2023,14,69,443,3,2,1,23
ATL,2023,15,50,205,1,1,0,7
ATL,2023,16,63,406,2,2,5,29
ATL,2023,17,59,314,2,2,1,17
ATL,2023,18,60,396,2,2,1,17
BAL,2012,1,57,452,4,5,3,38
BAL,2012,2,65,343,2,2,3,23
BAL,2012,3,64,505,4,4,1,31
BAL,2012,4,77,457,2,2,1,17
BAL,2012,5,53,322,0,0,3,9
BAL,2012,6,48,321,4,4,1,31
BAL,2012,7,59,202,2,1,2,19
BAL,2012,9,62,291,3,2,1,23
BAL,2012,10,62,419,7,7,2,55
BAL,2012,11,56,212,0,1,2,7
BAL,2012,12,91,482,1,1,3,16
BAL,2012,13,57,300,2,2,2,20
BAL,2012,14,57,369,4,4,0,28
BAL,2012,15,61,311,3,2,1,23
BAL,2012,16,77,537,3,3,4,33
BAL,2012,17,83,389,3,2,1,23
BAL,2013,1,87,420,3,3,2,27
BAL,2013,2,68,313,2,2,0,14
BAL,2013,3,57,246,1,3,3,18
BAL,2013,4,63,371,2,2,2,20
BAL,2013,5,73,403,3,2,4,32
BAL,2013,6,61,389,2,2,1,17
BAL,2013,7,61,297,1,1,3,16
BAL,2013,9,68,305,2,1,1,16
BAL,2013,10,71,225,2,2,2,20
BAL,2013,11,75,336,3,2,2,26
BAL,2013,12,62,340,1,1,4,19
BAL,2013,13,59,327,1,1,5,22
BAL,2013,14,79,342,4,3,0,27
BAL,2013,15,60,312,0,0,6,18
BAL,2013,16,73,384,3,1,0,19
BAL,2013,17,67,239,2,0,3,21
BAL,2014,1,86,439,2,1,1,16
BAL,2014,2,63,325,2,2,4,26
BAL,2014,3,62,378,2,2,3,23
BAL,2014,4,60,454,5,5,1,38
BAL,2014,5,56,325,1,1,2,13
BAL,2014,6,59,478,6,6,2,48
BAL,2014,7,62,381,3,3,2,27
BAL,2014,8,61,303,2,1,3,22
BAL,2014,9,66,366,3,2,1,23
BAL,2014,10,60,322,3,3,0,21
BAL,2014,12,56,459,3,4,2,28
BAL,2014,13,63,350,3,3,4,33
BAL,2014,14,61,456,4,4,0,28
BAL,2014,15,54,316,1,2,2,14
BAL,2014,16,69,228,2,1,0,13
BAL,2014,17,63,443,2,2,2,20
BAL,2015,1,57,190,1,1,2,13
BAL,2015,2,70,493,3,3,4,33
BAL,2015,3,67,398,2,3,1,18
BAL,2015,4,77,377,2,2,3,23
BAL,2015,5,68,391,4,3,1,30
BAL,2015,6,74,420,2,2,2,20
BAL,2015,7,59,307,2,1,1,16
BAL,2015,8,64,392,2,2,5,29
BAL,2015,10,68,405,3,2,0,20
BAL,2015,11,72,395,1,1,3,16
BAL,2015,12,58,336,3,3,2,27
BAL,2015,13,75,402,2,1,2,19
BAL,2015,14,54,304,0,0,2,6
BAL,2015,15,67,374,4,2,0,26
BAL,2015,16,73,395,2,2,2,20
BAL,2015,17,76,351,1,1,3,16
BAL,2016,1,62,344,1,1,2,13
BAL,2016,2,71,382,2,2,3,23
BAL,2016,3,63,299,1,1,4,19
BAL,2016,4,80,428,3,1,2,25
BAL,2016,5,69,328,2,1,1,16
BAL,2016,6,76,405,2,2,3,23
BAL,2016,7,56,259,0,1,3,10
BAL,2016,9,61,302,1,1,2,13
BAL,2016,10,75,418,3,2,2,26
BAL,2016,11,52,370,2,2,1,17
BAL,2016,12,67,326,1,1,4,19
BAL,2016,13,66,499,5,5,1,38
BAL,2016,14,68,366,2,2,3,23
BAL,2016,15,55,358,3,3,2,27
BAL,2016,16,73,384,2,1,4,25
BAL,2016,17,70,351,1,1,1,10
BAL,2017,1,60,278,2,2,2,20
BAL,2017,2,67,354,3,3,1,24
BAL,2017,3,54,198,1,1,0,7
BAL,2017,4,67,317,1,0,1,9
BAL,2017,5,62,369,2,3,3,24
BAL,2017,6,71,305,2,1,3,22
BAL,2017,7,64,250,1,1,3,16
BAL,2017,8,60,298,3,4,2,28
BAL,2017,9,77,350,2,2,2,20
BAL,2017,11,56,242,2,2,3,23
BAL,2017,12,63,304,2,2,3,23
BAL,2017,13,62,371,4,5,3,38
BAL,2017,14,61,421,5,5,1,38
BAL,2017,15,72,387,2,3,2,21
BAL,2017,16,68,343,2,2,3,23
BAL,2017,17,74,321,4,3,2,33
BAL,2018,1,75,377,6,5,2,47
BAL,2018,2,80,442,3,2,1,23
BAL,2018,3,66,357,3,3,2,27
BAL,2018,4,72,462,2,2,4,26
BAL,2018,5,84,414,0,0,3,9
BAL,2018,6,71,362,3,3,0,21
BAL,2018,7,64,361,3,2,1,23
BAL,2018,8,64,339,3,3,0,21
BAL,2018,9,56,279,1,1,3,16
BAL,2018,11,73,415,2,1,3,22
BAL,2018,12,67,422,2,4,2,22
BAL,2018,13,75,377,2,2,4,26
BAL,2018,14,68,341,3,3,1,24
BAL,2018,15,71,376,2,2,2,20
BAL,2018,16,59,365,1,1,3,16
BAL,2018,17,71,477,2,2,4,26
BAL,2019,1,71,646,8,8,1,59
BAL,2019,2,70,456,2,2,3,23
BAL,2019,3,81,470,4,1,1,28
BAL,2019,4,67,421,3,2,1,23
BAL,2019,5,73,299,2,2,4,26
BAL,2019,6,73,508,2,2,3,23
BAL,2019,7,53,345,1,3,3,18
BAL,2019,9,62,376,4,4,1,31
BAL,2019,10,44,371,5,7,0,37
BAL,2019,11,62,493,5,5,2,41
BAL,2019,12,71,496,6,6,1,45
BAL,2019,13,62,283,2,2,2,20
BAL,2019,14,57,266,3,3,1,24
BAL,2019,15,59,431,7,4,0,46
BAL,2019,16,69,483,4,4,1,31
BAL,2019,17,68,319,1,2,4,20
BAL,2020,1,57,396,5,5,1,38
BAL,2020,2,62,437,2,3,4,27
BAL,2020,3,52,256,2,2,2,20
BAL,2020,4,54,354,4,4,1,31
BAL,2020,5,61,342,2,3,2,21
BAL,2020,6,65,370,3,3,3,30
BAL,2020,8,78,473,4,3,1,30
BAL,2020,9,63,280,2,3,1,18
BAL,2020,10,64,364,2,2,1,17
BAL,2020,11,64,315,2,1,3,22
BAL,2020,12,49,239,3,2,0,20
BAL,2020,13,54,401,4,4,2,34
BAL,2020,14,57,407,6,4,1,43
BAL,2020,15,62,410,5,5,1,38
BAL,2020,16,64,433,3,3,2,27
BAL,2020,17,73,525,5,5,1,38
BAL,2021,1,66,425,3,3,2,27
BAL,2021,2,68,491,6,3,1,42
BAL,2021,3,56,403,1,1,4,19
BAL,2021,4,70,418,2,2,3,23
BAL,2021,5,73,528,4,0,1,27
BAL,2021,6,66,356,4,4,2,34
BAL,2021,7,71,411,2,2,1,17
BAL,2021,9,89,513,4,4,2,34
BAL,2021,10,67,333,2,1,1,16
BAL,2021,11,76,342,1,1,3,16
BAL,2021,12,74,315,1,1,3,16
BAL,2021,13,70,360,2,1,2,19
BAL,2021,14,69,405,3,1,3,28
BAL,2021,15,67,359,4,3,1,30
BAL,2021,16,57,343,3,3,0,21
BAL,2021,17,67,362,0,1,4,13
BAL,2021,18,71,390,1,1,2,13
BAL,2022,1,51,278,3,3,1,24
BAL,2022,2,54,473,5,5,1,38
BAL,2022,3,56,409,5,4,1,37
BAL,2022,4,63,307,2,2,2,20
BAL,2022,5,60,330,1,1,4,19
BAL,2022,6,58,421,2,2,2,20
BAL,2022,7,62,281,2,2,3,23
BAL,2022,8,71,471,3,3,2,27
BAL,2022,9,65,321,3,3,2,27
BAL,2022,11,65,325,1,1,2,13
BAL,2022,12,68,417,2,1,4,25
BAL,2022,13,68,301,1,1,1,10
BAL,2022,14,57,325,1,1,3,16
BAL,2022,15,61,336,0,0,1,3
BAL,2022,16,49,302,1,0,3,15
BAL,2022,17,49,250,1,1,2,13
BAL,2022,18,73,396,2,1,3,22
BAL,2023,1,59,279,3,2,1,23
BAL,2023,2,69,416,4,3,2,33
BAL,2023,3,72,388,2,2,1,17
BAL,2023,4,55,317,4,4,0,28
BAL,2023,5,67,361,1,1,1,10
BAL,2023,6,69,363,1,0,6,24
BAL,2023,7,54,504,5,5,1,38
BAL,2023,8,59,288,4,4,1,31
BAL,2023,9,72,525,4,4,3,37
BAL,2023,10,50,329,4,4,1,31
BAL,2023,11,60,421,4,4,2,34
BAL,2023,12,67,376,2,2,2,20
BAL,2023,14,71,456,3,2,3,29
BAL,2023,15,69,422,2,2,3,23
BAL,2023,16,62,355,3,3,4,33
BAL,2023,17,53,502,8,8,0,56
BAL,2023,18,56,253,1,1,1,10
BUF,2012,1,57,391,6,4,0,40
BUF,2012,2,53,381,4,5,0,29
BUF,2012,3,66,348,3,3,1,24
BUF,2012,4,69,448,4,4,0,28
BUF,2012,5,45,216,0,0,1,3
BUF,2012,6,67,318,2,2,1,17
BUF,2012,7,60,391,4,4,2,34
BUF,2012,9,57,313,0,0,3,9
BUF,2012,10,71,499,4,4,1,31
BUF,2012,11,60,289,0,1,4,13
BUF,2012,12,58,315,2,1,2,19
BUF,2012,13,62,345,4,4,2,34
BUF,2012,14,59,308,1,0,2,12
BUF,2012,15,66,365,3,2,1,23
BUF,2012,16,65,394,1,1,1,10
BUF,2012,17,57,334,3,4,0,22
BUF,2013,1,61,286,2,3,0,15
BUF,2013,2,73,446,2,1,3,22
BUF,2013,3,75,363,1,0,4,18
BUF,2013,4,74,386,2,2,3,23
BUF,2013,5,75,364,5,3,1,36
BUF,2013,6,68,347,3,3,1,24
BUF,2013,7,65,293,1,2,3,17
BUF,2013,8,68,322,2,2,1,17
BUF,2013,9,77,470,3,1,2,25
BUF,2013,10,64,250,1,1,1,10
BUF,2013,11,64,316,3,4,3,31
BUF,2013,13,63,405,4,4,1,31
BUF,2013,14,61,255,0,0,2,6
BUF,2013,15,70,393,3,3,2,27
BUF,2013,16,73,399,1,1,4,19
BUF,2013,17,68,416,2,2,2,20
BUF,2014,1,54,370,2,2,3,23
BUF,2014,2,58,317,2,2,5,29
BUF,2014,3,65,325,1,1,1,10
BUF,2014,4,68,321,3,2,1,23
BUF,2014,5,68,357,2,0,3,21
BUF,2014,6,67,367,3,2,0,20
BUF,2014,7,66,402,2,2,1,17
BUF,2014,8,52,306,5,4,3,43
BUF,2014,10,71,370,1,1,2,13
BUF,2014,11,59,248,0,0,3,9
BUF,2014,12,62,346,4,5,1,32
BUF,2014,13,61,296,1,2,4,20
BUF,2014,14,77,429,2,2,1,17
BUF,2014,15,60,275,0,1,4,13
BUF,2014,16,64,342,3,3,1,24
BUF,2014,17,56,283,2,2,1,17
BUF,2015,1,52,346,3,3,2,27
BUF,2015,2,67,402,5,2,0,32
BUF,2015,3,62,430,4,5,2,35
BUF,2015,4,68,329,1,1,1,10
BUF,2015,5,47,243,2,2,0,14
BUF,2015,6,66,375,3,3,0,21
BUF,2015,7,75,413,4,2,3,35
BUF,2015,9,48,451,4,4,1,31
BUF,2015,10,63,307,1,1,3,16
BUF,2015,11,67,328,1,1,2,13
BUF,2015,12,68,420,3,1,1,22
BUF,2015,13,58,398,4,3,1,30
BUF,2015,14,68,421,2,2,2,20
BUF,2015,15,64,475,3,2,1,23
BUF,2015,16,58,418,2,1,1,16
BUF,2015,17,72,296,2,1,3,22
BUF,2016,1,48,176,1,1,0,7
BUF,2016,2,49,393,3,4,1,25
BUF,2016,3,59,330,3,3,2,27
BUF,2016,4,73,380,1,1,3,16
BUF,2016,5,51,318,3,3,1,24
BUF,2016,6,73,493,6,6,1,45
BUF,2016,7,55,288,3,2,1,23
BUF,2016,8,69,385,3,2,1,23
BUF,2016,9,82,451,3,2,1,23
BUF,2016,11,63,349,1,1,3,16
BUF,2016,12,52,320,4,2,0,26
BUF,2016,13,69,403,3,3,1,24
BUF,2016,14,48,295,3,2,0,20
BUF,2016,15,66,454,4,3,2,33
BUF,2016,16,89,602,4,4,1,31
BUF,2016,17,62,250,2,1,1,16
BUF,2017,1,69,417,3,3,0,21
BUF,2017,2,51,194,0,0,1,3
BUF,2017,3,60,292,2,2,4,26
